store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
LAKELAND SQ - FL,383,3800 US HIGHWAY 98 ,,NORTH LAKELAND ,FL,33809,United States,8638593360,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
AVENUE VIERA - FL,391,2251 TOWNE CENTER AVENUE ,,VIERA ,FL,32940,United States,3216365252,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 11:00 AM - 06:00 PM,,0
CITRUS PARK - FL,79,8021 CITRUS PARK TOWN CENTER MALL ,,TAMPA ,FL,33625,United States,8139268719,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
SARASOTA - FL,233,8201 SOUTH TAMIAMI TRAIL ,,SARASOTA ,FL,34238,United States,9419264402,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 05:30 PM,,0
ORLANDO OUTLET - FL,560,8174 VINELAND AVENUE ,,ORLANDO ,FL,32821,United States,4074777726,,,MONDAY 10:00 AM - 11:00 PM; TUESDAY 10:00 AM - 11:00 PM; WEDNESDAY 10:00 AM - 11:00 PM; THURSDAY 10:00 AM - 11:00 PM; FRIDAY 10:00 AM - 11:00 PM; SATURDAY 10:00 AM - 11:00 PM; SUNDAY 09:00 AM - 09:00 PM,,0
GULF VIEW SQUARE - FL,536,9409 US HWY 19 ,,PORT RICHEY ,FL,34668,United States,7278450426,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
WIREGRASS - FL,525,28211 PASEO DRIVE ,,WESLEY CHAPEL ,FL,33543,United States,8139915601,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
VOLUSIA - FL,403,1700 WEST INTL SPEEDWAY BLVD ,,DAYTONA BEACH ,FL,32114,United States,3862581323,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 10:00 AM - 09:00 PM,,0
ORLANDO OUTLETS - FL,458,4977 INTERNATIONAL DR. ,,ORLANDO ,FL,32819,United States,4073511044,,,MONDAY 10:00 AM - 11:00 PM; TUESDAY 10:00 AM - 11:00 PM; WEDNESDAY 10:00 AM - 11:00 PM; THURSDAY 10:00 AM - 11:00 PM; FRIDAY 10:00 AM - 11:00 PM; SATURDAY 10:00 AM - 11:00 PM; SUNDAY 10:00 AM - 09:00 PM,,0
ALTAMONTE - FL,142,451 ALTAMONTE DRIVE ,,ALTAMONTE SPRINGS ,FL,32701,United States,4078307870,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
OVIEDO - FL,47,1640 OVIEDO MARKETPLACE BLVD ,,OVIEDO ,FL,32765,United States,4079771083,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
THE OAKS MALL - FL,773,6345 W. Newberry Road ,,Gainesville ,FL,32605,United States,3523327044,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
ST. AUGUSTINE - FL,553,500 OUTLET MALL BLVD ,,ST. AUGUSTINE ,FL,32084,United States,9048196844,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 10:00 AM - 06:00 PM,,0
PADDOCK - FL,456,3100 COLLEGE RD. ,,OCALA ,FL,34474,United States,3528540679,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 05:30 PM,,0
THE AVENUES - FL,163,10300 SOUTHSIDE BLVD ,,JACKSONVILLE ,FL,32256,United States,9045198399,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
GOV SQ - FL,337,1500 APPACHE PARKWAY ,,TALLAHASSEE ,FL,32301,United States,8508784926,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
MARKETS AT TOWN CENTER - FL,729,4870 BIG ISLAND DRIVE ,,JACKSONVILLE ,FL,32246,United States,9048079217,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
SANTA ROSA - FL,326,300 MARY ESTHER BLVD. ,,MARY ESTHER ,FL,32569,United States,8502433270,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 10:00 PM; SATURDAY 09:00 AM - 10:00 PM; SUNDAY 11:00 AM - 07:00 PM,,0
PIER PARK - FL,740,15611 STARFISH ST. ,,PANAMA CITY ,FL,32413,United States,8502300938,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 07:00 PM,,0
FLORIDA - FL,97,8001 SOUTH ORANGE BLOSSOM TRAIL ,,ORLANDO ,FL,32809,United States,4078595133,,,MONDAY 10:00 AM - 10:00 PM; TUESDAY 10:00 AM - 10:00 PM; WEDNESDAY 10:00 AM - 10:00 PM; THURSDAY 10:00 AM - 10:00 PM; FRIDAY 10:00 AM - 10:00 PM; SATURDAY 10:00 AM - 10:00 PM; SUNDAY 11:00 AM - 08:00 PM,,0
BROWNSVILLE - TX,145,N 2370 ,,EXPRESSWAY BROWNSVILLE ,TX,78521,United States,9565419337,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 11:00 AM - 07:00 PM,,0
FOLEY OUTLET - AL,464,2601 SOUTH MCKENZIE ST. ,,FOLEY ,AL,36535,United States,2519702390,,,MONDAY 09:00 AM - 09:00 PM; TUESDAY 09:00 AM - 09:00 PM; WEDNESDAY 09:00 AM - 09:00 PM; THURSDAY 09:00 AM - 09:00 PM; FRIDAY 09:00 AM - 09:00 PM; SATURDAY 09:00 AM - 09:00 PM; SUNDAY 11:00 AM - 07:00 PM,,0
OUTLET AT RIVERWALK - LA,700,500 Port of New Orleans Place ,,New Orleans ,LA,70130,United States,5045589901,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 10:00 AM - 07:00 PM,,0
OAKWOOD - LA,466,197 WESTBANK EXPWY. ,,GRETNA ,LA,70056,United States,5043615559,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
ORLANDO - FL,43,3201 EAST COLONIAL DRIVE ,,ORLANDO ,FL,32803,United States,4072282060,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 11:00 AM - 06:00 PM,,0
University Town Center - FL,786,140 University Town Center Drive ,,Sarasota ,FL,34243,United States,9418931165,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 11:00 AM - 06:00 PM,,0
VALLE VISTA - TX,260,2020 SOUTH EXPRESSWAY 83 ,,HARLINGEN ,TX,78552,United States,9564127596,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
CORDOVA - FL,276,5100 NORTH 9TH AVENUE ,,PENSACOLA ,FL,32504,United States,8504739381,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
ORANGE PARK - FL,86,1910 WELLS ROAD ,,ORANGE PARK ,FL,32073,United States,9042694533,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
EDGEWATER - MS,418,2600 BEACH BLVD ,,BILOXI ,MS,39531,United States,2283858832,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
EASTERN SHORE - AL,397,30500 STATE ROAD HIGHWAY 181 ,,SPANISH FORT ,AL,36527,United States,2516212055,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
OGLETHORPE - GA,332,7804 Abercorn Street ,,Savannah ,GA,31406,United States,9123554355,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
LA PLAZA - TX,121,2200 SOUTH 10TH STREET ,,MCALLEN ,TX,78503,United States,9569948088,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 11:00 AM - 07:00 PM,,0
WIREGRASS - AL,499,900 COMMONS DRIVE ,,DOTHAN ,AL,36303,United States,3347121030,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
GONZALES - LA,509,2410 TANGER BLVD ,,GONZALES ,LA,70737,United States,2256440509,,,MONDAY 09:00 AM - 09:00 PM; TUESDAY 09:00 AM - 09:00 PM; WEDNESDAY 09:00 AM - 09:00 PM; THURSDAY 09:00 AM - 09:00 PM; FRIDAY 09:00 AM - 09:00 PM; SATURDAY 09:00 AM - 09:00 PM; SUNDAY 10:00 AM - 07:00 PM,,0
CITADEL - SC,379,2070 SAM RITTENBERG BLVD ,,CHARLESTON ,SC,29407,United States,8437630299,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
FREMAUX TOWN CENTER - LA,796,760 TOWN CENTER PARKWAY ,,SLIDELL ,LA,70458,United States,9856459293,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
TURTLE CREEK - MS,356,1000 TURTLE CREEK DRIVE ,,HATTIESBURG ,MS,39402,United States,6012615557,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
PEACHTREE - GA,331,3131 MANCHESTER EXPRESSWAY ,,COLUMBUS ,GA,31909,United States,7063247106,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
ACADIANA - LA,370,5725 JOHNSTON STREET ,,LAFAYETTE ,LA,70503,United States,3379931663,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
NORTHWOODS - SC,262,2150 NORTHWOODS BLVD NORTH ,,CHARLESTON ,SC,29406,United States,8435532956,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
EASTDALE - AL,442,1000 EASTDALE MALL ,,MONTGOMERY ,AL,36117,United States,3342726388,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
RIVER CROSSING - GA,476,5080 RIVERSIDE DR ,,MACON ,GA,31210,United States,4784748226,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
BAYBROOK - TX,179,1318 BAYBROOK MALL ,,FRIENDSWOOD ,TX,77546,United States,2814801371,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 06:00 PM; WEDNESDAY 10:00 AM - 06:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
COLONIAL - AL,354,3431 BEL AIR MALL ,,MOBILE ,AL,36606,United States,2514707103,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 05:30 PM,,0
PARKDALE MALL - TX,704,6155 EASTEX FREEWAY ,,BEAUMONT ,TX,77706,United States,4093470016,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
TANGER OUTLETS AT SAVANNAH - GA,748,200 TANGER OUTLET BOULEVARD ,,POOLER ,GA,31322,United States,9124500258,,,MONDAY 09:00 AM - 09:00 PM; TUESDAY 09:00 AM - 09:00 PM; WEDNESDAY 09:00 AM - 09:00 PM; THURSDAY 09:00 AM - 09:00 PM; FRIDAY 09:00 AM - 09:00 PM; SATURDAY 09:00 AM - 09:00 PM; SUNDAY 10:00 AM - 07:00 PM,,0
HOUSTON - TX,244,5135 WEST ALABAMA ,,HOUSTON ,TX,77056,United States,7136226660,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 11:00 AM - 07:00 PM,,0
PEARLAND - TX,511,11200 BROADWAY ST. ,,PEARLAND ,TX,77584,United States,7133401108,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 11:00 AM - 07:00 PM,,0
ESPLANADE - LA,322,1401 WEST ESPLANADE ,,KENNER ,LA,70065,United States,5044665503,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
FIRST COLONY - TX,428,16535 SOUTHWEST FREEWAY ,,SUGAR LAND ,TX,77479,United States,2819801333,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
MEMORIAL CITY - TX,284,292 MEMORIAL CITY MALL ,,HOUSTON ,TX,77024,United States,7139739789,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 11:00 AM - 07:00 PM,,0
VICTORIA MALL - TX,744,7800 N. Navarro St. ,,Victoria ,TX,77904,United States,3615720553,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
AUGUSTA - GA,449,3450 WRIGHTSBORO RD ,,AUGUSTA ,GA,30909,United States,7067336106,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
LOUISIANA - LA,254,6401 BLUEBONNET BLVD ,,BATON ROUGE ,LA,70836,United States,2257668894,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
LOCUST GROVE - GA,461,1000 TANGER DR. ,,LOCUST GROVE ,GA,30248,United States,7702883380,,,MONDAY 09:00 AM - 09:00 PM; TUESDAY 09:00 AM - 09:00 PM; WEDNESDAY 09:00 AM - 09:00 PM; THURSDAY 09:00 AM - 09:00 PM; FRIDAY 09:00 AM - 09:00 PM; SATURDAY 09:00 AM - 09:00 PM; SUNDAY 10:00 AM - 07:00 PM,,0
COASTAL GRAND - SC,293,2000 COASTAL GRAND CIRCLE ,,MYRTLE BEACH ,SC,29577,United States,8438392996,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
DEL NORTE - TX,183,5300 SAN DARIO AVE ,,LAREDO ,TX,78041,United States,9567221116,,,MONDAY Call Store for Hours; TUESDAY Call Store for Hours; WEDNESDAY Call Store for Hours; THURSDAY Call Store for Hours; FRIDAY Call Store for Hours; SATURDAY Call Store for Hours; SUNDAY Call Store for Hours,,0
KATY - TX,93,5000 KATY MILLS CIRCLE ,,KATY ,TX,77494,United States,2816442040,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
OUTLETS OF MISSISSIPPI - MS,720,200 BASS PRO DR. ,,PEARL ,MS,39208,United States,6019391313,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 07:00 PM,,0
HOUSTON - TX,477,29300 Hempstead Rd. ,,CYPRESS ,TX,77433,United States,2812562511,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 11:00 AM - 07:00 PM,,0
TUSCALOOSA - AL,471,1701 MCFARLAND BLVD E. ,,TUSCALOOSA ,AL,35404,United States,2054622041,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
COLUMBIANA - SC,512,100 COLUMBIANA CIRCLE ,,COLUMBIA ,SC,29212,United States,8034074446,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
ARBOR - GA,101,1440 ARBOR PLACE MALL ,,DOUGLASVILLE ,GA,30135,United States,6788381500,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
NORTHPARK - MS,377,1200 EAST COUNTY LINE ROAD ,,RIDGELAND ,MS,39157,United States,6019910778,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
